DlangUI log file
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiLight)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift SemiBold)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.841 D  registerFont(SansSerif,Bahnschrift Light SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiLight SemiConde)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
2026-03-02 20:41:15.842 D  registerFont(SansSerif,Bahnschrift SemiCondensed)
